~v0,-v0-1
1*(v0|v1),-2*~v0+~v1-1*(~(v0&v1))-1*(~(v0&~v1))+2*(v0^v1)+3*(~(v0|v1))+3*(~(v0|~v1))-1*(v0&~v1)+2*(v0&v1)
1*(~(v0&v1))-(~(v0&~v1)),~v0+2*~v1+v0+v1-2*(~(v0^v1))-1*(~(v0&~v0))+2*(v0^v1)-1*(v0|v1)-2*(~(v0|~v1))-2*(v0&~v1)+1*(v0&v1)
1*(v0|v1),-1*(~(v0^v1))+(~(v0&v1))+(v0^v1)+(~(v0&~v1))-2*v0-1*(v0|~v1)+~v0-1*(~(v0|v1))-3*(~(v0|~v1))+2*(v0&~v1)+4*(v0&v1)
-(~(v0&~v0))+2*(v0|~v1),-1*~v1-1*(~(v0&v1))-2*v0-2*v1-1*(v0^v1)+(~(v0&~v1))+2*(~(v0|v1))+2*(~(v0|~v1))+6*(v0&~v1)+4*(v0&v1)
-(v0|v1)-~v1,v0+2*(v0^v1)-5*(~(v0&~v0))+~v0+(~(v0^v1))+(v0|~v1)+(~(v0&~v1))-1*(~(v0&v1))+1*(~(v0|v1))+1*(~(v0|~v1))
1*(~(v0&~v0))+1*(~(v0&~v1)),-2*(~(v0&v1))-2*~v1-2*~v0+(~(v0^v1))-2*v0-1*v1-1*(v0|v1)+(v0|~v1)+6*(~(v0|v1))+8*(~(v0|~v1))+7*(v0&~v1)+4*(v0&v1)
-(v0^v1)+4*(~(v0&~v0)),2*(~(v0&v1))+(v0|v1)+v0-1*(v0|~v1)+~v0-1*(~(v0&~v1))+2*~v1-4*v1+1*(~(v0|v1))+4*(~(v0|~v1))-2*(v0&~v1)+8*(v0&v1)
2*v1-(~(v0&v1)),-1*(~(v0^v1))+~v0-1*v0-1*(v0^v1)+(v0|~v1)-2*~v1-1*(v0|v1)+2*(~(v0|~v1))+3*(v0&~v1)+4*(v0&v1)
1*(v0|~v1)-2*v1,(~(v0&~v1))-1*(~(v0^v1))-1*(v0|v1)-1*~v0+(~(v0&~v0))+(~(v0&v1))-1*(v0^v1)+2*~v1-2*(~(v0|v1))-2*(~(v0|~v1))-1*(v0&~v1)-1*(v0&v1)
1*(v0|~v1),-1*(~(v0&~v0))+(~(v0&~v1))-1*(v0^v1)-1*v1-1*~v0+v0+2*~v1-1*(v0|v1)+4*(~(v0|~v1))+1*(v0&~v1)+2*(v0&v1)
3*v0+2*~v0,-2*(~(v0&~v0))+(v0^v1)+2*(~(v0&~v1))+v1-1*(~(v0^v1))-1*(v0|~v1)+4*(~(v0|v1))+5*(v0&~v1)+4*(v0&v1)
-2*(v0|v1)+2*~v1,-1*(~(v0&~v1))+(~(v0^v1))-1*(~(v0&v1))-2*(v0|~v1)+(~(v0&~v0))+v0-1*~v0+v1+5*(~(v0|v1))-1*(~(v0|~v1))+1*(v0&~v1)-3*(v0&v1)
-v1,~v1-1*~v0-1*(~(v0^v1))-1*(~(v0&~v1))-4*(v0^v1)-1*(~(v0&v1))-2*(~(v0&~v0))+(v0|~v1)-1*(v0|v1)+4*(~(v0|v1))+9*(~(v0|~v1))+6*(v0&~v1)+3*(v0&v1)
1*v1,-5*~v1-1*v0-1*~v0+2*(v0|v1)-2*(~(v0&~v0))-1*(~(v0&~v1))+(v0^v1)+(~(v0&v1))+8*(~(v0|v1))+1*(~(v0|~v1))+4*(v0&~v1)+3*(v0&v1)
-(~(v0&v1))-2*v0,-1*(v0|~v1)-1*~v0-2*v1+(~(v0^v1))-5*(v0^v1)+~v1-4*(~(v0&~v0))+3*(v0|v1)+3*(~(v0|v1))+8*(~(v0|~v1))+3*(v0&~v1)+1*(v0&v1)
1*(~(v0&v1)),-1*v1-1*(~(v0&~v0))-1*~v1+(v0^v1)+(v0|~v1)+(~(v0&~v1))-1*(v0|v1)-1*v0+(~(v0^v1))+2*(~(v0|~v1))+3*(v0&~v1)+1*(v0&v1)
-(~(v0&~v1))+1*~v1,(~(v0^v1))+(v0|v1)+(~(v0&~v0))+v1-1*(v0^v1)+(~(v0&v1))+2*~v0-2*(v0|~v1)-3*(~(v0|v1))-6*(~(v0|~v1))+1*(v0&~v1)-3*(v0&v1)
1*~v1,2*v1-1*(v0|v1)+2*v0-1*(~(v0&~v0))-1*(~(v0&~v1))-2*(v0^v1)+3*(~(v0|v1))+3*(~(v0|~v1))+3*(v0&~v1)-1*(v0&v1)
-(~(v0^v1)),2*(~(v0&~v0))-2*~v0-1*(~(v0&~v1))+~v1-1*(~(v0&v1))+2*(v0|v1)+v0-5*(v0&~v1)-5*(v0&v1)
1*v1,(v0|v1)-1*(~(v0&~v0))+(~(v0&v1))-1*~v1+(v0|~v1)-1*(~(v0&~v1))+(~(v0^v1))+(v0^v1)-2*(v0&~v1)
2*(v0|~v1)-2*(v0^v1),-1*(~(v0&v1))+v1-2*(~(v0^v1))+2*v0+(~(v0&~v1))-2*(v0|v1)+~v0-1*(~(v0&~v0))+4*(~(v0|v1))-1*(~(v0|~v1))+2*(v0&~v1)+3*(v0&v1)
1*v0,(~(v0&~v1))-1*(~(v0&v1))-1*(~(v0&~v0))+~v1-3*~v0+v1+3*(~(v0|v1))+3*(~(v0|~v1))+2*(v0&~v1)
-~v1+4*v1,-1*(~(v0^v1))-5*(~(v0&~v1))+2*(v0|~v1)-1*(v0^v1)+(v0|v1)+v0+3*(~(v0|v1))+9*(~(v0|~v1))-4*(v0&~v1)+6*(v0&v1)
1*(~(v0&~v1))+1*~v0,-1*(v0^v1)-2*(v0|v1)+(v0|~v1)+(~(v0&~v0))+4*(~(v0|~v1))+1*(v0&~v1)+1*(v0&v1)
-3*(~(v0&~v0)),2*(~(v0&v1))-4*(~(v0^v1))-1*v0-2*(v0^v1)-1*(~(v0&~v1))+~v1+~v0-2*(~(v0|v1))-3*(~(v0|~v1))-3*(v0&~v1)+3*(v0&v1)
1*(~(v0&~v0))-(~(v0&v1)),-2*(v0^v1)-1*v0-1*(~(v0^v1))-1*(v0|~v1)+2*(~(v0|v1))+2*(~(v0|~v1))+4*(v0&~v1)+4*(v0&v1)
1*(v0^v1)+1*v1,-1*(~(v0&v1))-1*~v1-1*(~(v0&~v0))+~v0-1*(v0|~v1)+3*(v0|v1)-1*(~(v0&~v1))+4*(~(v0|v1))+1*(~(v0|~v1))+2*(v0&~v1)+1*(v0&v1)
2*(~(v0&~v1)),(v0|v1)+~v0+2*v1-1*v0-1*(v0|~v1)-1*(v0^v1)-1*(~(v0&v1))+(~(v0&~v0))+2*~v1-1*(~(v0|~v1))
-(v0^v1),-1*v1+2*v0+(~(v0&v1))+(~(v0^v1))+(~(v0&~v1))-2*(v0|v1)-1*~v0+(~(v0&~v0))+2*(v0|~v1)-5*(~(v0|v1))-5*(v0&~v1)-4*(v0&v1)
-~v1+4*v1,-1*(~(v0^v1))-5*(~(v0&~v1))+2*(v0|~v1)-1*(v0^v1)+(v0|v1)+v0+3*(~(v0|v1))+9*(~(v0|~v1))-4*(v0&~v1)+6*(v0&v1)
1*(~(v0^v1)),2*(v0^v1)-1*~v0+~v1+(~(v0&~v0))+2*(~(v0&~v1))-1*(v0|~v1)-2*v0+(v0|v1)-1*(~(v0|v1))-5*(~(v0|~v1))-2*(v0&~v1)
-2*(~(v0&~v1))+1*(~(v0&v1)),~v0-1*v1+(v0|~v1)-1*(~(v0^v1))+(v0^v1)+~v1-1*(~(v0&~v0))+(v0|v1)-2*(~(v0|v1))-2*(~(v0|~v1))-2*(v0&~v1)-1*(v0&v1)
1*~v0+2*(v0|~v1),-1*v0-1*(v0^v1)-2*(~(v0&~v0))+(v0|v1)+5*(~(v0|v1))+3*(~(v0|~v1))+5*(v0&~v1)+4*(v0&v1)
-(v0^v1)-(~(v0&~v0)),-1*(~(v0&v1))+2*v1-1*~v0+(~(v0^v1))-1*(v0|v1)+(v0|~v1)-1*(~(v0|v1))-1*(~(v0|~v1))-1*(v0&~v1)-4*(v0&v1)
1*(v0|~v1),(v0^v1)-1*v0+(~(v0^v1))-2*v1+2*(~(v0&v1))-1*(~(v0&~v1))-1*(~(v0&~v0))-1*(v0|v1)+2*(~(v0|~v1))+1*(v0&~v1)+6*(v0&v1)
1*v1-(v0|v1),~v1+5*(v0|~v1)-1*v0-1*(~(v0&~v0))-1*(v0^v1)-1*(~(v0&~v1))-1*(~(v0^v1))-3*(~(v0|v1))+3*(~(v0|~v1))-4*(v0&~v1)-1*(v0&v1)
-5*(~(v0&v1))-(~(v0^v1)),(~(v0&~v0))+v1-2*(v0^v1)-1*~v1+v0-1*(~(v0&~v1))-2*~v0-3*(~(v0|v1))-2*(~(v0|~v1))-4*(v0&~v1)-3*(v0&v1)
3*(~(v0&v1)),2*v0-1*(~(v0&~v0))+(~(v0^v1))+v1-1*(v0|~v1)+4*(v0|v1)+4*(~(v0|v1))-1*(~(v0|~v1))-1*(v0&~v1)-6*(v0&v1)
1*v1-(v0|~v1),v0+2*(~(v0^v1))+(v0|v1)-1*~v0+(v0^v1)-1*(~(v0&v1))-1*(~(v0&~v0))-1*(~(v0&~v1))+1*(~(v0|v1))+3*(~(v0|~v1))-2*(v0&~v1)-2*(v0&v1)
1*~v1-2*(~(v0&v1)),-1*(v0|~v1)+(~(v0^v1))+~v0-1*(v0^v1)+(~(v0&~v1))-1*(~(v0&~v0))+(v0|v1)-2*(~(v0|v1))-3*(~(v0|~v1))+1*(v0&~v1)-1*(v0&v1)
-(~(v0^v1)),-1*v0-1*(v0|v1)-2*v1-1*(~(v0&v1))-2*(~(v0&~v1))+~v0-1*(v0|~v1)-1*(v0^v1)-1*~v1+3*(~(v0|v1))+6*(~(v0|~v1))+6*(v0&~v1)+6*(v0&v1)
-(~(v0&v1))-(v0|~v1),-1*~v1-1*(v0|v1)+v0-1*(~(v0^v1))+(~(v0&~v1))-1*(v0^v1)-1*(~(v0|v1))-1*(v0&v1)
1*~v0+1*(~(v0&v1)),-1*v1-1*(~(v0&~v0))+2*v0-1*(~(v0^v1))+(v0|~v1)-2*(v0^v1)+2*(v0|v1)+2*~v1+1*(~(v0|v1))+4*(~(v0|~v1))-3*(v0&~v1)-2*(v0&v1)
2*(~(v0^v1)),~v1-2*(v0|v1)+(~(v0&v1))-2*v0-1*(v0^v1)-1*v1+3*(~(v0|~v1))+3*(v0&~v1)+7*(v0&v1)
-2*~v1-(~(v0&~v0)),(~(v0^v1))-2*v1-1*(~(v0&~v1))+4*(~(v0&v1))-7*(~(v0|v1))-2*(~(v0|~v1))-7*(v0&~v1)+1*(v0&v1)
-(~(v0&v1))+1*(v0|v1),-1*(v0|~v1)+(~(v0^v1))+2*(~(v0&~v1))-1*~v0+2*(v0^v1)-2*v1-1*(~(v0&~v0))+3*v0-1*(~(v0|v1))-3*(v0&~v1)-1*(v0&v1)
-(~(v0&v1)),-1*~v0+(v0|v1)+(v0|~v1)+(~(v0&~v0))+(~(v0&~v1))-1*~v1+v0-2*(~(v0|v1))-3*(~(v0|~v1))-4*(v0&~v1)-5*(v0&v1)
1*(v0|~v1),(v0^v1)-1*(~(v0&~v1))-1*(~(v0&v1))+(~(v0&~v0))+v0+~v1+(v0|v1)+2*(~(v0^v1))-1*(~(v0|v1))-1*(~(v0|~v1))-3*(v0&~v1)-3*(v0&v1)
2*v1,2*~v1+(v0|v1)-1*(v0|~v1)-1*(~(v0|v1))+1*(~(v0|~v1))-2*(v0&~v1)+2*(v0&v1)
-(v0|v1),-1*~v1+(~(v0^v1))-1*v1+v0-1*(v0|~v1)+2*~v0+(~(v0&v1))-1*(~(v0&~v1))-2*(v0^v1)-1*(~(v0|v1))+1*(v0&~v1)
-2*~v0,(~(v0&~v0))-2*v0-2*(v0^v1)-1*(~(v0&v1))-2*v1+2*(v0|v1)+~v1+(~(v0^v1))+2*(v0|~v1)-6*(~(v0|v1))-1*(v0&~v1)-2*(v0&v1)
1*(~(v0^v1)),(~(v0&~v0))+(~(v0&~v1))+(v0^v1)-1*~v0+2*(~(v0&v1))+(v0|v1)-2*(~(v0|v1))-5*(~(v0|~v1))-5*(v0&~v1)-2*(v0&v1)
-v1,(~(v0&~v1))-5*(~(v0&v1))-1*(v0^v1)+2*(~(v0^v1))+5*(~(v0&~v0))+~v1+v0-1*(v0|~v1)-2*~v0-1*(~(v0|v1))+1*(~(v0|~v1))-9*(v0&v1)
-v0,-1*v1-2*~v0+~v1-1*(v0^v1)-1*(~(v0&~v0))+2*(~(v0&~v1))-1*(~(v0&v1))+3*(~(v0^v1))-1*(v0|v1)-2*(~(v0|v1))+5*(~(v0|~v1))+2*(v0&~v1)-3*(v0&v1)
-~v1+1*(v0|v1),-1*(~(v0^v1))+2*(~(v0&v1))-1*(v0^v1)-1*(v0|~v1)-1*(~(v0&~v0))-1*~v0-2*(~(v0&~v1))-1*v1+3*(~(v0|v1))+5*(~(v0|~v1))+1*(v0&~v1)+7*(v0&v1)
-(~(v0&v1))+1*(v0|~v1),-1*(v0|v1)+(~(v0&~v1))+2*v1-2*~v1-1*~v0-1*(~(v0&~v0))+(~(v0^v1))+v0+2*(~(v0|v1))-1*(~(v0|~v1))+3*(v0&~v1)-2*(v0&v1)
2*~v1-2*(v0|~v1),(~(v0^v1))+(~(v0&v1))+2*v0+(~(v0&~v1))-3*(~(v0|v1))-2*(~(v0|~v1))-3*(v0&~v1)-6*(v0&v1)
4*(v0|~v1),(~(v0&v1))-1*(v0|v1)+~v0+(~(v0^v1))+2*(~(v0&~v1))+v0-1*(v0^v1)+~v1-2*(~(v0|v1))-2*(~(v0|~v1))+3*(v0&~v1)+1*(v0&v1)
1*v0+1*(~(v0&~v0)),-1*(v0|v1)-2*(v0^v1)+~v1+(~(v0&~v1))-1*(v0|~v1)-1*~v0+(~(v0&v1))+v1+2*(~(v0|~v1))+4*(v0&~v1)+2*(v0&v1)
2*(v0^v1)-~v0,2*(v0|~v1)+(v0|v1)+3*~v1+(~(v0&v1))+(~(v0&~v0))-8*(~(v0|v1))-2*(~(v0|~v1))-6*(v0&~v1)-4*(v0&v1)
2*(v0|v1),(~(v0&~v1))-1*(~(v0&v1))+2*v1+(~(v0&~v0))-2*~v1-1*(~(v0^v1))-1*(v0|~v1)+4*v0+3*(~(v0|v1))-1*(~(v0|~v1))+1*(v0&~v1)-4*(v0&v1)
1*(v0^v1)-v1,2*(~(v0^v1))-2*(v0|v1)-2*(~(v0&~v0))+(~(v0&~v1))+(~(v0&v1))+(v0|~v1)-3*(~(v0|v1))+2*(~(v0|~v1))+3*(v0&~v1)-1*(v0&v1)
1*(~(v0^v1))+1*~v1,-1*(v0|~v1)-2*(~(v0&~v1))-1*(v0|v1)+(~(v0&v1))-1*v0+4*(~(v0|v1))+2*(~(v0|~v1))+3*(v0&~v1)+6*(v0&v1)
-(~(v0&~v1))+2*(v0|v1),~v0-1*(~(v0^v1))-1*(~(v0&v1))-1*(v0|~v1)+v1-1*~v1-2*(v0^v1)+2*(~(v0|v1))+2*(~(v0|~v1))+7*(v0&~v1)+2*(v0&v1)
2*v0+1*(v0^v1),-1*(v0|v1)+2*~v1+(~(v0&v1))+2*(~(v0&~v1))-2*(~(v0^v1))+(v0|~v1)-1*(~(v0&~v0))+v1-3*(~(v0|v1))-1*(~(v0|~v1))+1*(v0&~v1)+2*(v0&v1)
2*(v0^v1)-v0,-2*(v0|~v1)-2*(~(v0^v1))-1*(~(v0&~v0))+2*(~(v0&v1))-1*~v1-1*~v0-1*v1+5*(~(v0|v1))+3*(~(v0|~v1))+3*(v0&~v1)+5*(v0&v1)
1*(~(v0^v1))-2*(~(v0&~v1)),-1*~v0-1*v0+2*(v0|v1)+(~(v0&v1))+(v0^v1)-1*v1-1*(~(v0&~v0))-5*~v1+5*(~(v0|v1))-3*(~(v0|~v1))+3*(v0&~v1)
-~v0,-3*(~(v0^v1))-5*(v0|v1)-1*(~(v0&v1))-3*(~(v0&~v1))-1*(v0^v1)+(v0|~v1)-1*v0+(~(v0&~v0))+4*(~(v0|v1))+8*(~(v0|~v1))+6*(v0&~v1)+10*(v0&v1)
-(v0^v1)-v1,-1*~v1+v0-1*(~(v0&~v0))-1*(~(v0&v1))+(~(v0^v1))-2*~v0+4*(~(v0|v1))+2*(~(v0|~v1))+1*(v0&~v1)-2*(v0&v1)
1*~v0-v0,-1*(~(v0&~v1))-1*(~(v0^v1))+(v0|~v1)-1*(v0|v1)-1*(~(v0&v1))-1*~v1+2*(v0^v1)+v1+4*(~(v0|v1))+1*(~(v0|~v1))-1*(v0&~v1)
1*v1,-2*(v0^v1)+(~(v0&v1))+v0+(v0|v1)+2*(~(v0&~v0))-1*(v0|~v1)-2*(~(v0|v1))-1*(~(v0|~v1))-2*(v0&~v1)-2*(v0&v1)
-v0-(~(v0&~v1)),-5*~v1+(~(v0^v1))-1*~v0-1*(v0|~v1)-1*(v0^v1)+(~(v0&v1))+(~(v0&~v0))+3*(~(v0|v1))-1*(~(v0|~v1))+4*(v0&~v1)-3*(v0&v1)
-2*(~(v0&~v1))+1*(~(v0&v1)),~v0-1*v1+(v0|~v1)-1*(~(v0^v1))+(v0^v1)+~v1-1*(~(v0&~v0))+(v0|v1)-2*(~(v0|v1))-2*(~(v0|~v1))-2*(v0&~v1)-1*(v0&v1)
-~v0,2*(~(v0^v1))-1*~v1+v1+(~(v0&~v1))-1*(v0^v1)+v0-1*(v0|v1)-1*(~(v0&~v0))-2*(~(v0|v1))+3*(v0&~v1)-3*(v0&v1)
-(~(v0&~v0))-2*(~(v0&~v1)),-2*(v0|v1)+~v0+~v1+(~(v0^v1))-2*v0+v1-6*(~(v0|v1))-3*(~(v0|~v1))+2*(v0&~v1)-1*(v0&v1)
1*(~(v0&~v1)),-1*v1-1*(v0|v1)+(v0|~v1)-1*~v1+(~(v0&~v0))+v0+~v0-1*(~(v0|v1))+1*(~(v0|~v1))-1*(v0&~v1)
2*v0+1*v1,~v1+(v0|~v1)-2*(~(v0&v1))+(v0^v1)-1*~v0-1*(~(v0&~v0))+(v0|v1)+2*(~(v0|v1))+3*(~(v0|~v1))+1*(v0&~v1)+2*(v0&v1)
1*(~(v0&v1)),-1*~v0-1*(v0|v1)-1*v1-1*(~(v0^v1))+(v0|~v1)+v0+2*~v1+4*(~(v0|~v1))-2*(v0&~v1)+1*(v0&v1)
-v0,-2*(v0|v1)-1*(v0|~v1)+(~(v0&~v0))-1*~v1+(~(v0^v1))+(~(v0&v1))+2*~v0-1*(~(v0&~v1))-1*v1-2*(~(v0|v1))+1*(v0&~v1)+2*(v0&v1)
1*(v0|~v1),~v1-1*(~(v0&~v0))-1*(~(v0&~v1))-1*(v0|v1)+2*(~(v0|v1))+3*(~(v0|~v1))+2*(v0&~v1)+4*(v0&v1)
-(~(v0^v1))-~v1,(~(v0&v1))-1*(~(v0&~v1))-1*~v0-1*(~(v0&~v0))+v1+2*v0+2*(v0^v1)-1*(~(v0|~v1))-5*(v0&~v1)-2*(v0&v1)
1*(~(v0&~v0)),(v0|~v1)+~v0+v0+(~(v0&~v1))-1*(v0|v1)+4*~v1+(~(v0^v1))+(~(v0&v1))-1*v1-8*(~(v0|v1))-5*(v0&~v1)-1*(v0&v1)
-(~(v0&~v1))+1*~v1,(~(v0^v1))+(v0|v1)+(~(v0&~v0))+v1-1*(v0^v1)+(~(v0&v1))+2*~v0-2*(v0|~v1)-3*(~(v0|v1))-6*(~(v0|~v1))+1*(v0&~v1)-3*(v0&v1)
-4*(~(v0&~v0)),-2*~v1+(~(v0^v1))-1*v1+(~(v0&~v1))+(~(v0&v1))+2*~v0-1*(v0|v1)+v0-1*(v0|~v1)-6*(~(v0|v1))-6*(~(v0|~v1))-2*(v0&~v1)-4*(v0&v1)
2*~v0-2*(v0|~v1),(~(v0&~v0))-1*(~(v0&~v1))+~v1-1*(~(v0^v1))-5*(~(v0&v1))+v0+5*(~(v0|v1))+7*(~(v0|~v1))-2*(v0&v1)
-(v0^v1),(~(v0&~v0))+(~(v0^v1))+v0-2*~v0-1*v1-1*(~(v0&~v1))-1*(v0|v1)+3*(v0|~v1)-2*(~(v0|v1))+3*(~(v0|~v1))-5*(v0&~v1)-3*(v0&v1)
-~v0+1*(~(v0^v1)),(~(v0&~v0))-1*v0-1*(v0^v1)+(v0|v1)-1*(~(v0&~v1))+v1-2*(v0|~v1)-2*~v1+4*(~(v0|v1))-2*(~(v0|~v1))+4*(v0&~v1)+2*(v0&v1)
-v1+1*(~(v0&v1)),(~(v0&~v1))+(v0^v1)+~v1+~v0+(v0|v1)+2*(~(v0^v1))-1*(~(v0&~v0))-3*(~(v0|v1))-3*(~(v0|~v1))-1*(v0&~v1)-4*(v0&v1)
-(v0^v1)+1*v0,(~(v0&~v0))-1*(~(v0^v1))+~v0+2*~v1-2*v1-2*(v0|~v1)-1*(~(v0|v1))-1*(~(v0|~v1))-1*(v0&~v1)+5*(v0&v1)
2*v0,-2*(v0|v1)+~v1-1*~v0-1*(v0|~v1)+v1-1*(v0^v1)+(~(v0^v1))+2*(~(v0&~v1))+(~(v0&v1))-3*(~(v0|v1))+4*(v0&~v1)+1*(v0&v1)
-(v0|v1)-(~(v0&v1)),-1*v1+(v0|~v1)-1*v0-1*(~(v0&~v0))-1*(~(v0^v1))-1*(~(v0&~v1))-1*~v1+2*(~(v0|v1))+1*(~(v0|~v1))+3*(v0&v1)
-2*(v0|~v1),v1+~v0+(v0^v1)-2*~v1-4*(~(v0&~v1))+(v0|v1)+3*(~(v0|v1))-2*(v0&~v1)
-(v0|~v1),-1*(v0^v1)-1*(v0|v1)-1*(~(v0^v1))+(~(v0&~v1))-1*(~(v0&~v0))-1*~v1+v1-1*~v0-1*(~(v0&v1))+3*(~(v0|v1))+3*(~(v0|~v1))+4*(v0&~v1)
-(~(v0&~v1)),-1*(v0^v1)-1*v0-2*~v1-1*(~(v0^v1))-1*v1+2*~v0-1*(~(v0|~v1))+4*(v0&~v1)+2*(v0&v1)
1*(~(v0&~v1))+2*~v1,v0+2*(~(v0&v1))+(~(v0&~v0))+2*(~(v0^v1))-1*(v0|v1)+2*(v0^v1)+~v0+(v0|~v1)-4*(~(v0|v1))-4*(~(v0|~v1))-4*(v0&~v1)-3*(v0&v1)
1*~v0+1*(~(v0&v1)),-1*v1-1*(~(v0&~v0))+2*v0-1*(~(v0^v1))+(v0|~v1)-2*(v0^v1)+2*(v0|v1)+2*~v1+1*(~(v0|v1))+4*(~(v0|~v1))-3*(v0&~v1)-2*(v0&v1)
-(v0^v1),-3*v1+(~(v0&~v0))+(v0|v1)-1*~v1+~v0+(~(v0^v1))+3*(~(v0&~v1))-5*(~(v0|v1))-4*(~(v0|~v1))-2*(v0&~v1)-3*(v0&v1)
1*(~(v0&v1))+2*(v0^v1),-4*(v0|v1)+~v0-1*~v1+(~(v0&~v1))-2*v1+7*(~(v0|~v1))+8*(v0&~v1)+5*(v0&v1)
-(v0|v1),(~(v0&v1))+(v0^v1)-1*v1+v0-2*(v0|~v1)+2*(~(v0&~v1))+~v1-1*(~(v0^v1))-1*(~(v0|v1))-4*(~(v0|~v1))-3*(v0&~v1)
-2*(v0|v1)+2*~v1,-1*(~(v0&~v1))+(~(v0^v1))-1*(~(v0&v1))-2*(v0|~v1)+(~(v0&~v0))+v0-1*~v0+v1+5*(~(v0|v1))-1*(~(v0|~v1))+1*(v0&~v1)-3*(v0&v1)
-5*(v0^v1),-1*(~(v0^v1))-1*~v0+(~(v0&~v1))-1*(v0|v1)-2*~v1+3*(~(v0|v1))-4*(~(v0|~v1))-2*(v0&~v1)+1*(v0&v1)
2*v1-(~(v0&v1)),-1*(~(v0^v1))+~v0-1*v0-1*(v0^v1)+(v0|~v1)-2*~v1-1*(v0|v1)+2*(~(v0|~v1))+3*(v0&~v1)+4*(v0&v1)
2*(~(v0&~v1))+1*(v0^v1),-1*v0-1*(~(v0^v1))-1*(~(v0&~v0))+(v0|v1)+4*(~(v0|v1))+3*(~(v0|~v1))+2*(v0&~v1)+4*(v0&v1)
-(v0|v1)+1*(v0|~v1),-2*v0+(v0^v1)-1*~v0+2*~v1+(~(v0^v1))+(~(v0&~v0))-2*(~(v0|v1))-2*(~(v0|~v1))-2*(v0&~v1)
1*~v0,-1*(v0|v1)+(~(v0&~v0))-1*(~(v0^v1))+(~(v0&~v1))-1*(~(v0&v1))-1*~v1-2*(v0|~v1)+4*(~(v0|v1))+1*(~(v0|~v1))+4*(v0&~v1)+2*(v0&v1)
-~v0,-1*v0-1*~v1+4*(~(v0&~v0))-1*(~(v0^v1))+v1-4*(~(v0&v1))-1*(~(v0&~v1))+2*(~(v0|v1))-1*(~(v0|~v1))+2*(v0&~v1)-2*(v0&v1)
1*(~(v0&~v0)),(v0|v1)+(v0|~v1)+(~(v0^v1))-1*~v1+5*(v0^v1)+2*v1-1*(~(v0&~v1))-1*(~(v0&v1))+2*(~(v0|v1))-5*(~(v0|~v1))-4*(v0&~v1)-3*(v0&v1)
2*(v0^v1)-(v0|~v1),-1*~v1+(~(v0&~v0))-5*(~(v0&~v1))-1*(~(v0^v1))-1*v0+(v0|v1)+5*(~(v0|v1))+5*(~(v0|~v1))+1*(v0&~v1)+4*(v0&v1)
1*~v0+2*(~(v0&~v0)),(~(v0^v1))+(v0|~v1)+2*(~(v0&v1))-1*v0-1*(v0|v1)-1*(~(v0&~v1))-1*v1+4*(~(v0|~v1))+1*(v0&~v1)+4*(v0&v1)
1*(~(v0^v1)),-2*(v0|v1)-1*~v1-1*v1+3*v0-1*(v0^v1)+(~(v0&~v0))+(v0|~v1)+3*(~(v0|~v1))-1*(v0&~v1)-1*(v0&v1)
-(~(v0&~v1)),-1*(v0|~v1)-1*(v0|v1)+v1-1*(~(v0&~v0))-2*(~(v0^v1))-1*(~(v0&v1))+4*(~(v0|v1))+1*(~(v0|~v1))+4*(v0&~v1)+3*(v0&v1)
1*(~(v0&~v1))-5*(~(v0&v1)),(v0^v1)+5*v1-2*(~(v0&~v0))-1*(v0|~v1)-1*~v1-1*v0-1*(~(v0^v1))-1*~v0+2*(~(v0|v1))-7*(~(v0|~v1))-1*(v0&~v1)+1*(v0&v1)
1*(~(v0&v1)),(v0^v1)+5*(~(v0&~v0))+2*(~(v0&~v1))+~v0+2*(v0|~v1)-1*(v0|v1)-2*v1-1*v0+~v1-10*(~(v0|v1))-5*(~(v0|~v1))-6*(v0&~v1)-5*(v0&v1)
-(v0^v1),-2*(~(v0&~v0))+2*(v0|v1)+~v0+(v0|~v1)-1*(~(v0^v1))-1*(~(v0&v1))+(~(v0&~v1))-1*v1-1*~v1+2*(~(v0|v1))-1*(~(v0|~v1))
1*(v0|v1),5*~v0+(v0|~v1)-1*(~(v0&v1))-1*v1-1*(v0^v1)+2*v0+(~(v0^v1))+~v1+2*(~(v0&~v1))-9*(~(v0|v1))-3*(~(v0|~v1))-1*(v0&~v1)-4*(v0&v1)
1*(v0^v1),(~(v0&~v0))-2*(~(v0&v1))+2*(~(v0&~v1))-1*(v0|~v1)+~v1-1*(~(v0|v1))+2*(v0&~v1)-2*(v0&v1)
1*~v1+1*~v0,-1*(v0|v1)-1*v1+(~(v0&v1))-2*(~(v0&~v1))-2*(v0|~v1)+(v0^v1)+5*(~(v0|v1))+3*(~(v0|~v1))+2*(v0&~v1)+6*(v0&v1)
-2*v1-~v1,(v0^v1)-1*~v0+(~(v0^v1))-1*(~(v0&~v1))-1*(v0|~v1)-1*v0+1*(~(v0|v1))-1*(~(v0|~v1))
1*v0,-1*(~(v0&v1))+(~(v0&~v0))+~v0-1*(v0^v1)+~v1+(~(v0^v1))+(v0|v1)-2*(~(v0&~v1))-1*(~(v0|v1))+1*(~(v0|~v1))
1*(v0|v1),v0-1*(v0^v1)+(~(v0&~v0))-1*(~(v0&v1))-2*(~(v0&~v1))-1*(~(v0^v1))-1*~v0+4*(~(v0|v1))+5*(~(v0|~v1))+1*(v0&~v1)+2*(v0&v1)
